file,Google Prediction,YOLO Prediction,Final Prediction,Truth
Manually_Labelled/New/TY1005/Taylor A2/DCIM/100NCD60/Measured/FTY1N3G1005.JPG,1N3G,1N3G,1N3G,1N3G
Manually_Labelled/New/LL1209/FLL5O6G1209.JPG,5O6,5O6G,5O6G,5O6G
Manually_Labelled/New/CA1108/FCA3O5K1108.JPG,3O5K,35K,3O5K,3O5K
Manually_Labelled/New/LL1204/MLL3V5P1204.JPG,3V5P,3V5P,3V5P,3V5P
Manually_Labelled/New/UL1006/FUL1V2R1006.JPG,1V2R,V2,1V2R,1V2R
Manually_Labelled/New/LL1103/MLL4F6B1103.JPG,4F6B,4F6B,4F6B,4F6B
Manually_Labelled/New/UL1205/MUL3R5K1205.JPG,3R5K,3R5K,3R5K,3R5K
Manually_Labelled/New/CA1209jpegs JB/FCA1W6O1209.JPG,1W6O,1W6O,1W6O,1W6O
Manually_Labelled/New/UL1202/FUL1P2G1202.JPG,1P2G,1P2G,1P2G,1P2G
Manually_Labelled/New/LL1001/FLL1P8R1001.JPG,,,,1P8R
Manually_Labelled/New/LL1109/MLL2G7K1109.JPG,2G7K,2G7K,2G7K,2G7K
Manually_Labelled/New/UL1009/FUL2S4S1009.JPG,2S4S,2S4S,2S4S,2S4S
Manually_Labelled/New/LL1108/FLL3F6O1108.JPG,3F6O,3F6O,3F6O,3F6O
Manually_Labelled/New/UL1010/FUL2N4V1010.JPG,2N4V,2N4V,2N4V,2N4V
Manually_Labelled/New/TY1112/FTY5O7S1112.JPG,5O7S,5O7S,5O7S,5O7S
Manually_Labelled/New/UL1106/FUL2R3N1106.JPG,2B3N,2B3N,2B3N,2R3N
Manually_Labelled/New/UL1107/FUL3O7W1107.JPG,3O7W,3OW,3O7W,3O7W
Manually_Labelled/New/LL1101/MLL2F7K1101.JPG,2F7K,2F7K,2F7K,2F7K
Manually_Labelled/New/UL1105/FUL1S8G1105.JPG,1S8G,1S8G,1S8G,1S8G
Manually_Labelled/New/UL1007/FUL1O2O3R1007.JPG,1O2O3R,O2OR,1O2O3R,1O2O3R
Manually_Labelled/New/LL1105/FLL6P8G1105.JPG,6P8G,6PG,6P8G,6P8G
Manually_Labelled/New/TY1105/MTY5K6W1105.JPG,,,,5K6W
Manually_Labelled/New/LL1012/FLL3F8O1012.JPG,3F8O,3F8O,3F8O,3F8O
Manually_Labelled/New/UL1109/FUL2O4W1109.JPG,2O4W,2O4W,2O4W,2O4W
Manually_Labelled/New/LL1001/FLL3B5O1001.JPG,3F5O,3B5O,3B5O,3B5O
Manually_Labelled/New/LL1104/FLL3G5W1104.JPG,3G5W,3G5W,3G5W,3G5W
Manually_Labelled/New/UL1106/FUL1N7K1106.JPG,1N1K,1N7K,1N7K,1N7K
Manually_Labelled/New/LL1004/FLL2W4B1004 (1).JPG,2W4B,2W4B,2W4B,2W4B
Manually_Labelled/New/UL1005/FUL1S5B1005.JPG,,,,1S5B
Manually_Labelled/New/UL1105/FUL4R8P1105.JPG,4R8P,4R8P,4R8P,4R8P
